catalog_id,category,title,release_date,authors,wiki_url_mmm,download_url_mmm_docman,youtube_longplay_url
EP-031,MMM-Episoden,Episode 031: Britneys Suche,2005-08-19,Rulaman,http://wiki.maniac-mansion-mania.de/wiki/Britneys_Suche,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=33,https://www.youtube.com/watch?v=3QpPTXwFypE&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=49
EP-032,MMM-Episoden,Episode 032: The Secret of Maniac Mansion,2005-08-20,MisterL,http://wiki.maniac-mansion-mania.de/wiki/The_Secret_of_Maniac_Mansion,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=34,https://www.youtube.com/watch?v=Sxr_CkaFPek&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=51
EP-033,MMM-Episoden,Episode 033: Carry on Smiley!,2005-09-07,MisterL,http://wiki.maniac-mansion-mania.de/wiki/Carry_on_Smiley!,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=35,https://www.youtube.com/watch?v=a-6zWMJJcyM&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=53
EP-034,MMM-Episoden,Episode 034: Helden des Tages,2005-07-23,Edison Interactive; Kruttan; MisterL; Bòógieman; dasJan; Rayman,http://wiki.maniac-mansion-mania.de/wiki/Helden_des_Tages,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=36,https://www.youtube.com/watch?v=uBYrw6VElzw&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=54
EP-035,MMM-Episoden,Episode 035: Weggebeamt,2005-09-26,Dapor,http://wiki.maniac-mansion-mania.de/wiki/Weggebeamt,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=37,https://www.youtube.com/watch?v=IIya2oH-_mE&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=55
EP-036,MMM-Episoden,Episode 036: Der Liebesbrief,2005-10-10,MalleTheRedPhoenix,http://wiki.maniac-mansion-mania.de/wiki/Der_Liebesbrief,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=38,https://www.youtube.com/watch?v=Aev3pjtFi0k&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=56
EP-037,MMM-Episoden,Episode 037: Verabredung mit Dave,2005-12-27,Rulaman,http://wiki.maniac-mansion-mania.de/wiki/Verabredung_mit_Dave,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=39,https://www.youtube.com/watch?v=WNgC8cStxH0&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=57
EP-038,MMM-Episoden,Episode 038: Rescue Mission,2005-12-28,Cone Arex,http://wiki.maniac-mansion-mania.de/wiki/Rescue_Mission,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=40,https://www.youtube.com/watch?v=jVPRiPkZdVs&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=59
EP-039,MMM-Episoden,Episode 039: Erinnerungen,2005-12-31,Lampengeist_M,http://wiki.maniac-mansion-mania.de/wiki/Erinnerungen,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=41,https://www.youtube.com/watch?v=pDJCqhVLigk&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=60
EP-040,MMM-Episoden,Episode 040: Verflixte Türen (Version 2.05),2006-01-08,Rayman,http://wiki.maniac-mansion-mania.de/wiki/Verflixte_T%C3%BCren,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=42,https://www.youtube.com/watch?v=nwaBPDJdsqc&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=62
EP-041,MMM-Episoden,Episode 041: Das neue Jugendschutzgesetz,2006-01-30,Cone Arex,http://wiki.maniac-mansion-mania.de/wiki/Das_neue_Jugendschutzgesetz,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=43,https://www.youtube.com/watch?v=aar2BgoyFJM&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=65
EP-042,MMM-Episoden,Episode 042: Die furchtbaren Pläne des Psycho Bernie,2006-02-20,fireorange,http://wiki.maniac-mansion-mania.de/wiki/Die_furchtbaren_Pl%C3%A4ne_des_Psycho_Bernie,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=44,https://www.youtube.com/watch?v=jNrDPhfjZMk&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=67
EP-043,MMM-Episoden,"Episode 043: Vorsicht, Edna kommt!",2006-03-07,Rayman,"http://wiki.maniac-mansion-mania.de/wiki/Vorsicht,_Edna_kommt!",http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=45,https://www.youtube.com/watch?v=3i7hc1r2DTY&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=68
EP-044,MMM-Episoden,Episode 044: Razors großer Auftritt,2006-03-21,Larry Wolf,http://wiki.maniac-mansion-mania.de/wiki/Razors_gro%C3%9Fer_Auftritt,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=46,https://www.youtube.com/watch?v=moRWhRuHasQ&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=69
EP-045,MMM-Episoden,Episode 045: Maniac Monday,2006-04-03,MisterL,http://wiki.maniac-mansion-mania.de/wiki/Maniac_Monday,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=47,https://www.youtube.com/watch?v=VigPB-4wDEg&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=71
EP-046,MMM-Episoden,Episode 046: Verschollen,2006-04-09,Kate,http://wiki.maniac-mansion-mania.de/wiki/Verschollen,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=48,https://www.youtube.com/watch?v=Vjt6TIeTG0E&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=72
EP-047,MMM-Episoden,Episode 047: Maniac Ostern,2006-04-18,Bissiger Witzbold,http://wiki.maniac-mansion-mania.de/wiki/Maniac_Ostern,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=49,https://www.youtube.com/watch?v=50gSvLoJSHQ&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=73
EP-048,MMM-Episoden,Episode 048: Wendy und das Buch des Todes,2006-05-25,fireorange,http://wiki.maniac-mansion-mania.de/wiki/Wendy_und_das_Buch_des_Todes,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=50,https://www.youtube.com/watch?v=-Cs6_JE0tZw&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=74
EP-049,MMM-Episoden,Episode 049: Clouso's Großer Coup,2006-06-05,AdventureMoe,http://wiki.maniac-mansion-mania.de/wiki/Clouso's_Gro%C3%9Fer_Coup,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=51,https://www.youtube.com/watch?v=69K5ZY26ags&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=75
EP-050,MMM-Episoden,Episode 050: Das Date 3,2006-06-26,Tütensuppe,http://wiki.maniac-mansion-mania.de/wiki/Das_Date_3,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=52,https://www.youtube.com/watch?v=Pp5DsZqyZ3Q&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=76
EP-051,MMM-Episoden,Episode 051: Ortmaschine II,2006-07-22,Problem; Floyd,http://wiki.maniac-mansion-mania.de/wiki/Ortmaschine_II,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=53,https://www.youtube.com/watch?v=8vBxSpm_yEk&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=78
EP-052,MMM-Episoden,Episode 052: Ein irrer Tag eines Ronvillers (Version 2.0),2006-07-26,Kaktus,http://wiki.maniac-mansion-mania.de/wiki/Ein_irrer_Tag_eines_Ronvillers,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=189,https://www.youtube.com/watch?v=j-3hvweuYIE&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=80
EP-053,MMM-Episoden,Episode 053: Der Klaus schlägt zurück,2006-08-28,Bòógieman,http://wiki.maniac-mansion-mania.de/wiki/Der_Klaus_schl%C3%A4gt_zur%C3%BCck,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=55,https://www.youtube.com/watch?v=d2uUxDWbsTg&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=81
EP-054,MMM-Episoden,Episode 054: CSI:RONVILLE,2006-09-13,MisterL,http://wiki.maniac-mansion-mania.de/wiki/CSI:Ronville,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=56,https://www.youtube.com/watch?v=lUlV-vdgt_M&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=83
EP-055,MMM-Episoden,Episode 055: Hamsters of the mysterious man: Chapter of dream,2006-11-15,DarthConan,http://wiki.maniac-mansion-mania.de/wiki/Hamsters_of_the_mysterious_man:_Chapter_of_dream,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=57,https://www.youtube.com/watch?v=xdlewa2R9DY&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=84
EP-056,MMM-Episoden,Episode 056: Grotten-Urlaub,2007-01-31,Fatal hoch zwei,http://wiki.maniac-mansion-mania.de/wiki/Grotten-Urlaub,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=58,https://www.youtube.com/watch?v=uZ_Tt03IF14&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=85
EP-057,MMM-Episoden,Episode 057: Der komplizierte Ausflug,2007-03-06,sky09,http://wiki.maniac-mansion-mania.de/wiki/Der_komplizierte_Ausflug,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=92,https://www.youtube.com/watch?v=MvKPeqm0NbQ&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=86
EP-058,MMM-Episoden,Episode 058: The People´s Court,2007-04-01,MisterL,http://wiki.maniac-mansion-mania.de/wiki/The_People's_Court,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=112,https://www.youtube.com/watch?v=6cJWRH7d3zk&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=87
EP-059,MMM-Episoden,Episode 059: Computerliebe,2007-05-21,Gul Loki,http://wiki.maniac-mansion-mania.de/wiki/Computerliebe,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=150,https://www.youtube.com/watch?v=TvEsXI9p5zU&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=88
